                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                0.70995,                0.62808,                 1.1675,                0.94442,                0.96667,                0.98237,                0.63831,                 1.2486,                0.59737,                 1.7712,             0.00048701,             0.00048701,             0.00048701
                    145,                0.72234,                0.64393,                 1.1868,                0.95053,                0.98836,                0.99094,                0.62265,                 1.2482,                0.57165,                 1.7896,             0.00047876,             0.00047876,             0.00047876
                    146,                0.75442,                0.64608,                 1.2052,                0.94648,                0.96667,                0.99313,                0.62775,                 1.2402,                0.60826,                 1.7412,             0.00047051,             0.00047051,             0.00047051
                    147,                0.68131,                0.57619,                 1.1358,                 0.9658,                0.95454,                0.99147,                0.63302,                 1.2586,                0.61915,                 1.7179,             0.00046226,             0.00046226,             0.00046226
                    148,                0.72256,                0.58983,                 1.1747,                0.94086,                0.96968,                0.97844,                0.63506,                 1.2159,                0.61811,                 1.6929,             0.00045401,             0.00045401,             0.00045401
                    149,                0.71016,                0.60764,                 1.1672,                 0.9567,                0.96667,                0.98914,                0.64502,                 1.2275,                0.61323,                 1.7301,             0.00044576,             0.00044576,             0.00044576
                    150,                0.73435,                0.60216,                 1.2042,                0.98256,                0.96667,                   0.99,                0.60822,                 1.3068,                0.59039,                 1.7842,              0.0004375,              0.0004375,              0.0004375
                    151,                0.71882,                0.57881,                 1.1707,                0.95227,                0.96667,                0.98906,                0.60331,                 1.3199,                0.59245,                 1.7961,             0.00042925,             0.00042925,             0.00042925
                    152,                0.74635,                0.60709,                 1.1697,                 0.9882,                0.96667,                0.99313,                0.62145,                 1.2364,                0.56744,                 1.7185,               0.000421,               0.000421,               0.000421
                    153,                0.72355,                0.59248,                 1.1705,                0.92151,                0.96667,                0.95121,                 0.5996,                 1.2604,                 0.5889,                 1.7441,             0.00041275,             0.00041275,             0.00041275
                    154,                0.70819,                0.55439,                 1.1469,                 0.9284,                0.96667,                0.94154,                0.59067,                 1.2722,                0.60721,                 1.7711,              0.0004045,              0.0004045,              0.0004045
                    155,                0.64093,                0.53872,                 1.1173,                0.98307,                0.99737,                  0.995,                 0.6018,                 1.2986,                0.58154,                 1.7714,             0.00039625,             0.00039625,             0.00039625
                    156,                0.71517,                0.57774,                 1.1604,                0.97975,                0.99728,                  0.995,                 0.6063,                  1.284,                0.58286,                 1.7572,             0.00038799,             0.00038799,             0.00038799
                    157,                0.67038,                0.52521,                 1.1488,                0.95149,                 0.9972,                 0.9825,                0.60433,                 1.2391,                0.57942,                 1.7288,             0.00037974,             0.00037974,             0.00037974
                    158,                0.76085,                0.64183,                 1.2063,                0.96693,                 0.9316,                0.98594,                0.61703,                 1.2857,                0.67112,                 1.8138,             0.00037149,             0.00037149,             0.00037149
                    159,                0.68837,                0.56961,                 1.1726,                0.89371,                 0.9272,                0.96009,                0.58764,                  1.318,                0.68208,                 1.8555,             0.00036324,             0.00036324,             0.00036324
                    160,                0.67196,                 0.5656,                 1.1383,                0.93109,                0.93273,                0.95701,                0.59414,                 1.3753,                0.68369,                 1.8963,             0.00035499,             0.00035499,             0.00035499
                    161,                0.64766,                0.54165,                 1.1421,                0.96253,                0.93333,                0.94311,                0.59593,                 1.3135,                0.63878,                  1.844,             0.00034674,             0.00034674,             0.00034674
                    162,                0.64656,                0.54411,                 1.1125,                0.97326,                0.93333,                0.95163,                0.59712,                 1.3061,                0.65863,                  1.835,             0.00033848,             0.00033848,             0.00033848
                    163,                0.69365,                0.55521,                 1.1594,                0.99172,                0.89974,                0.96717,                0.61114,                 1.3863,                 0.6402,                 1.8722,             0.00033023,             0.00033023,             0.00033023
                    164,                0.64402,                0.55205,                 1.1225,                0.96296,                0.93333,                 0.9896,                0.62191,                  1.343,                0.63522,                 1.8051,             0.00032198,             0.00032198,             0.00032198
                    165,                0.63653,                0.51588,                  1.128,                  0.967,                0.97164,                0.99313,                0.63361,                 1.2913,                0.61136,                 1.7565,             0.00031373,             0.00031373,             0.00031373
                    166,                0.65772,                0.54916,                 1.1456,                0.99369,                0.93333,                 0.9896,                0.64001,                 1.2642,                0.59526,                  1.737,             0.00030548,             0.00030548,             0.00030548
                    167,                0.67291,                0.56171,                 1.1449,                0.99484,                0.93333,                0.98681,                0.64368,                 1.2855,                0.61451,                 1.7618,             0.00029723,             0.00029723,             0.00029723
                    168,                0.63698,                0.52955,                 1.1355,                0.92867,                0.96667,                0.96349,                0.63329,                 1.2792,                0.62668,                 1.7645,             0.00028897,             0.00028897,             0.00028897
                    169,                0.61135,                 0.5272,                 1.1081,                0.98503,                0.93333,                0.98647,                0.63194,                 1.2928,                0.61537,                 1.7618,             0.00028072,             0.00028072,             0.00028072
                    170,                0.62955,                0.52514,                  1.112,                0.97843,                0.93333,                 0.9896,                0.62902,                 1.2782,                0.61566,                 1.7651,             0.00027247,             0.00027247,             0.00027247
                    171,                0.60381,                0.49117,                 1.0728,                0.93202,                0.96667,                0.98062,                0.63622,                 1.2333,                0.61752,                 1.7383,             0.00026422,             0.00026422,             0.00026422
                    172,                0.62941,                0.52347,                 1.1046,                0.93794,                0.96667,                0.97656,                0.66587,                 1.1974,                0.57632,                 1.7323,             0.00025597,             0.00025597,             0.00025597
                    173,                0.60433,                0.49009,                 1.0926,                 0.9246,                0.96667,                0.97393,                0.64814,                 1.1931,                0.56991,                 1.7256,             0.00024772,             0.00024772,             0.00024772
                    174,                 0.6072,                 0.4864,                 1.0912,                0.91636,                0.96229,                0.96994,                0.65381,                 1.1943,                0.57038,                 1.7283,             0.00023946,             0.00023946,             0.00023946
                    175,                0.60603,                0.52891,                 1.0846,                0.94674,                0.95229,                0.98868,                0.65074,                 1.2128,                0.59868,                 1.7604,             0.00023121,             0.00023121,             0.00023121
                    176,                0.58859,                0.49685,                  1.087,                 0.9329,                0.96667,                0.98643,                0.62403,                 1.2627,                0.63251,                 1.8071,             0.00022296,             0.00022296,             0.00022296
                    177,                0.60454,                0.53551,                 1.0984,                0.90144,                0.96667,                0.98045,                0.62009,                 1.2807,                0.65195,                 1.8082,             0.00021471,             0.00021471,             0.00021471
                    178,                0.57068,                0.48761,                 1.0726,                0.91258,                0.96667,                0.98193,                0.60212,                 1.2967,                0.67072,                 1.7881,             0.00020646,             0.00020646,             0.00020646
                    179,                0.57547,                0.54969,                 1.0686,                 0.9378,                0.93333,                0.98647,                0.62259,                 1.3498,                 0.6594,                  1.834,             0.00019821,             0.00019821,             0.00019821
