                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4004,                 1.4289,                 1.6796,                0.81724,                0.76667,                0.89703,                0.47628,                 1.4924,                 1.3041,                 1.9621,              0.0013947,              0.0013947,              0.0013947
                     35,                  1.327,                  1.336,                 1.6188,                0.65572,                0.77541,                 0.8005,                 0.4448,                 1.3878,                 1.4986,                 1.9161,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.3144,                 1.3953,                 1.5757,                0.63839,                0.64849,                0.67163,                0.37317,                 1.6881,                 1.4816,                 2.1453,              0.0013782,              0.0013782,              0.0013782
                     37,                    1.3,                 1.3346,                 1.5531,                0.63341,                0.56667,                0.58898,                0.31993,                    1.7,                 1.5165,                 2.1078,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.3844,                 1.4105,                 1.6185,                0.70061,                0.75872,                0.83333,                0.47431,                 1.2832,                 1.2115,                 1.7069,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.2227,                  1.274,                 1.5238,                 0.7721,                0.58464,                0.78848,                0.51096,                 1.2547,                 1.4201,                 1.7038,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.3432,                 1.3325,                 1.6139,                0.66847,                    0.7,                0.73398,                0.39936,                 1.3518,                 1.6543,                 1.8356,              0.0013452,              0.0013452,              0.0013452
                     41,                 1.2686,                 1.2308,                 1.5648,                0.66926,                0.86667,                0.81837,                0.49452,                 1.3471,                  1.162,                 1.7851,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.2336,                 1.1943,                 1.5661,                0.88184,                0.76667,                0.87122,                0.58055,                 1.2326,                 1.0739,                 1.5846,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.2761,                 1.2173,                 1.5794,                0.71441,                0.61034,                0.67564,                0.36101,                 1.4373,                 1.5775,                 1.8109,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.2899,                 1.2664,                 1.6046,                0.66113,                0.53069,                0.57443,                0.27395,                 1.7024,                 2.0494,                 2.0954,              0.0013122,              0.0013122,              0.0013122
                     45,                  1.274,                 1.2363,                 1.5979,                0.71222,                    0.9,                0.89001,                0.55073,                 1.2122,                 1.1232,                 1.6325,              0.0013039,              0.0013039,              0.0013039
                     46,                 1.2645,                 1.1991,                 1.5403,                0.85705,                  0.718,                0.88097,                0.46985,                 1.4165,                 1.1184,                 1.8094,              0.0012957,              0.0012957,              0.0012957
                     47,                 1.2447,                 1.1916,                 1.5123,                0.70137,                    0.9,                 0.9169,                0.49059,                 1.5179,                 1.0703,                 1.8772,              0.0012874,              0.0012874,              0.0012874
                     48,                 1.2309,                 1.1488,                 1.5031,                 0.8517,                0.64847,                0.88651,                0.50568,                 1.3748,                 1.1239,                  1.829,              0.0012792,              0.0012792,              0.0012792
                     49,                 1.2147,                 1.2142,                 1.5231,                0.61801,                0.80205,                0.82753,                0.47514,                 1.3794,                  1.434,                 1.8054,              0.0012709,              0.0012709,              0.0012709
                     50,                 1.1853,                 1.1276,                 1.5274,                0.75122,                0.90108,                0.89844,                0.57988,                 1.3195,                 1.0491,                 1.6977,              0.0012627,              0.0012627,              0.0012627
                     51,                 1.2386,                  1.146,                 1.5284,                0.77231,                0.93163,                0.93386,                 0.5673,                 1.3263,                0.91748,                 1.7115,              0.0012544,              0.0012544,              0.0012544
                     52,                 1.2047,                  1.113,                 1.5195,                0.77754,                0.98231,                0.95231,                0.60697,                 1.2581,                0.95775,                 1.6593,              0.0012462,              0.0012462,              0.0012462
                     53,                 1.1337,                 1.0724,                 1.4659,                0.80965,                0.91162,                0.95958,                0.58951,                 1.3037,                0.87097,                 1.7128,              0.0012379,              0.0012379,              0.0012379
                     54,                 1.2108,                  1.168,                 1.4748,                 0.7811,                0.87458,                0.91184,                0.57647,                 1.3766,                0.98688,                  1.837,              0.0012297,              0.0012297,              0.0012297
                     55,                 1.0674,                0.99708,                 1.3998,                0.92978,                0.84736,                0.94113,                0.59525,                 1.3164,                 1.0854,                 1.7916,              0.0012214,              0.0012214,              0.0012214
                     56,                 1.1549,                 1.1044,                 1.4744,                0.85237,                0.83333,                0.88833,                0.57195,                 1.3291,                0.97127,                 1.8183,              0.0012132,              0.0012132,              0.0012132
                     57,                 1.1988,                 1.1254,                 1.5183,                0.81535,                0.83333,                 0.9118,                0.59661,                 1.2768,                 0.9094,                   1.75,              0.0012049,              0.0012049,              0.0012049
                     58,                 1.1619,                 1.1091,                 1.4707,                0.81758,                0.85214,                0.92911,                0.61051,                 1.1753,                 1.0096,                 1.6094,              0.0011967,              0.0011967,              0.0011967
                     59,                 1.1813,                 1.2081,                  1.499,                0.91327,                0.84452,                0.92124,                0.56391,                 1.3468,                 1.0227,                 1.6853,              0.0011884,              0.0011884,              0.0011884
                     60,                 1.1479,                 1.0617,                 1.4453,                0.82249,                0.92484,                 0.9328,                0.50692,                 1.3395,                 1.2638,                 1.7928,              0.0011802,              0.0011802,              0.0011802
                     61,                 1.0966,                 1.1046,                 1.4487,                0.81209,                0.91688,                0.94134,                 0.5544,                 1.3589,                  1.118,                 1.8172,              0.0011719,              0.0011719,              0.0011719
                     62,                 1.1297,                 1.0486,                 1.4809,                0.69462,                    0.8,                0.85268,                0.53716,                 1.4599,                  1.052,                 1.9393,              0.0011636,              0.0011636,              0.0011636
                     63,                 1.1268,                 1.0644,                 1.4806,                0.84319,                0.92656,                0.88984,                0.56397,                 1.3515,                 0.9879,                 1.8349,              0.0011554,              0.0011554,              0.0011554
                     64,                 1.0737,                0.97409,                 1.3985,                 0.7243,                    0.7,                0.80457,                 0.4631,                 1.5838,                 1.2135,                 2.0428,              0.0011471,              0.0011471,              0.0011471
                     65,                   1.13,                 1.0754,                 1.4428,                0.71205,                0.76667,                0.77401,                0.48344,                 1.4552,                 1.2138,                 1.9091,              0.0011389,              0.0011389,              0.0011389
                     66,                 1.1087,                0.99423,                 1.4152,                0.83018,                0.75978,                0.86285,                 0.5296,                 1.3282,                 1.0231,                 1.7631,              0.0011306,              0.0011306,              0.0011306
                     67,                 1.1607,                 1.0484,                 1.4636,                0.92567,                0.96667,                0.98187,                0.60664,                 1.3108,                0.83547,                 1.7339,              0.0011224,              0.0011224,              0.0011224
                     68,                 1.0976,                 1.0059,                 1.4266,                0.95927,                0.95853,                0.97125,                0.58777,                 1.3045,                0.86504,                 1.7232,              0.0011141,              0.0011141,              0.0011141
                     69,                 1.0416,                 1.0417,                 1.3968,                0.94607,                0.79779,                0.92155,                 0.5537,                 1.4322,                 0.9605,                 1.9132,              0.0011059,              0.0011059,              0.0011059
                     70,                 1.0104,                0.99101,                 1.3968,                0.86039,                0.87066,                0.90888,                0.54995,                 1.4483,                0.89697,                 1.8186,              0.0010976,              0.0010976,              0.0010976
                     71,                 1.0833,                 1.0805,                 1.4183,                0.91997,                0.76667,                0.95763,                0.56754,                 1.3546,                0.97512,                 1.7467,              0.0010894,              0.0010894,              0.0010894
                     72,                 1.0279,                0.95328,                 1.3652,                0.91672,                    0.9,                0.95682,                0.59214,                  1.296,                0.87742,                 1.7541,              0.0010811,              0.0010811,              0.0010811
